brand_id,brand_name
9,9t9
 Bat,Dr Batra's 
 Be ,To Be Honest
 Bha,Om Bhakti
 C,bb C
 Car,La Carne
 Com,bb Combo
 Des,Go Desi
 Ess,Herbal Essence
 G,So G
 Her,18 Herbs
 Hom,BB Home
 Int,Hm International
 Kav,Le Kaviraj
 Man,24 Mantra
 Mus,Mr Muscle
 N F,Clean N Fresh
 Nat,By Nature
 Net,Wc Net
 P,bb P
 Pop,bb Popular
 Pro,Godrej Protekt
 Rha,Dr Rhazes
 Roy,bb Royal
 Sig,Fresho Signature
 Sip,My Sip
 Tat,Organic Tattva
 The,On The Run
 Vie,La Vieja Fabrica
!rog,Ah!rogya Bar
. D',ST. D'VENCE
. Go,Mr. Gold
. Oe,Dr. Oetker
. Sc,Dr. Schar
. Va,Dr. Vaidya's
.Bat,Dr.Batra'S
.Cop,Mr.Copper King
00BC,4700BC
1y,On1y
3BO,3BO
A,OGA
a Ar,Swa Artisanal Syrups
A CA,SDA CANDYS
a Fr,Ala Fresh
a Pe,Himalaya Pet Care
a Tr,Aroma Treasures
A&M,A&M
aa,Praa
aa M,Qraa Men
aad,Swaad
aakr,Praakritik
aayo,Chaayos
aben,Grabenord
abet,Diabetics Dezire
abha,Prabhat
abhi,Swabhiman33
acea,Glaceau 
ack ,Snack Amor
ack& ,Black & Green
ackA,SnackAmor
acke,Loacker
ade,Glade
adi,Vaadi
adi ,Khadi Natural
adis,Daadis 
ADO,AMADO
adoo,Kaadoo
Aer,Godrej Aer
afra,Azafran
agat,Fragata
agen,Haagen-Dazs
ago,Zago
ahna,Shahnaz Husain
ai ,Chai 
ai P,Chai Point
air,Flair
aj,Saaj
akrt,Prakrta
al,Real
al A,Real Activ
al T,Real Thai
alad,Phalada Pure & Sure
alay,Himalayan Natives
al-B,Oral-B
alim,Shalimar
alit,Kwality
Aliv,D-Alive
alth,Health 1st
alti,Ovaltine
ama,Fiama
amba,Cambay Tiger
amin,Graminway
AMIS,ARAMIS
Amla,Dabur Amla
amon,Teamonk
amve,Glamveda
anan,Jianan
And ,Clean And Dry
anda,Chandan
andr,Chandrika 
ani ,Azani Active Nutrition
anie,Beanies
anka,Shankara
ao,Liao
ap,50ap
apin,Snapin
ar,Akar
ar W,Sugar Watchers
ara,Kiara Foods
ara ,Dhara 
arak,Charak
ardo,Beardo
arlp,Pearlpet
ars,Pears
aska,Alaska
ass ,Glass Ideas 
assa,Nyassa
assi,Klassic
assm,Classmate
ast,Tast
asta,Seastar
asti,Swastik Steel
asty,Roasty Tasty
asty ,Tasty Tales
asuk,Prasukh
asum,Prasuma
asvi,Ojasvita
at T,Flat Tummies
ata ,Tata Tea Gold
atio,Stationari+
atom,Anatomicals
ATUR,INATUR 
atzz,Meatzza
aul,Baul
awat,Daawat 
ax,Crax
ay,Olay
aya ,Himalaya Baby
aybo,Playboy
aycr,Claycraft
AYFR,STAYFREE
aza,Maaza
b,Ifb
bac,Tabac
bame,Sebamed
ban ,Urban Platter
bane,Habanero
bBox,FabBox
be,Bebe
bell,Fabelle
Best,Best
Bett,Betty Crocker
bi ,Gebi 
bica,Ambica
bies,Abbies
bit,Habit
ble,Doublemint
ble ,Double Pagoda
Bota,StBotanica
brand_id,brand_name
bron,Zebronics
bson,Jabsons
bury,Cadbury Dairy Milk Silk
BVC,BVC
by D,Baby Dove
C,NIC
C Ce,BIC Cello
C Ma,ITC Master Chef
c Na,Organic Nation
c Or,Organic Origins
ca-C,Coca-Cola
Cadb,Cadbury
Cain,McCain
cc,Vlcc
ccli,Macclite
CD,NOCD
ce Br,Ice Breakers
cel ,Excel Plus
ch b,Scotch brite
chan,Enchanteur
chef,Bechef
chel,Vochelle
chfe,Richfeel
chi,Aachi
chi ,Ruchi magic
chun,Bachun 
ckay,Mackays
ckel,Fackelmann
ckwi,Pickwick 
CPL ,SSCPL HERBALS
cque,Jacques Bogart
ctar,Nectar Valley
D ,G.D 
d Bu,Red Bull
d Hu,Red Hunt
d Sp,Old Spice
Dabu,Dabur
dai ,Kodai Cheese
dapu,Vedapure
db,Cadb
ddyy,Teddyy
deme,Tedemei
demi,Tedemi
der ,Under The Mango Tree
dhur,Madhur
dia ,India Gate
dias,Pediasure
digr,Pedigree
dili,Pidilite
dimi,Medimix
dofi,Indofish
DP,DP
dr,Godr
dre,Gadre
dsha,Badshah
dule,Indulekha
dy ,Oddy 
dygu,Bodyguard
dyHe,BodyHerbals
e,&Me
e ,The 
e B ,The B Queen Co
E BR,THE BROOKLYN CREAMERY
e Ch,Dae Chun Gim
e Fa,The Face Shop
e ma,She made
e Me,Mee Mee
e Mo,The Moms Co
e Ni,The Nibble Box
e Sp,The Spice Club
e Wh,The Whole Truth
ea,Bhea
eal ,LOreal Professionnel
eale,Freale
ean,Ocean
East,Eastern
eati,Creation Lamis
EBA,SHEBA
Eco,Eco
ee ,Ezee 
eeba,Veeba
eel ,Steel Lock
eelo,Steelo Sunpet
een ,Green apple
eenb,Greenberry Organics
eenc,Greenchef
eeno,Aveeno
eepy,Sleepy Owl
eev,Oleev
ega,Omega
eiva,Oleiva Gold
ekes,Veekes & Company
el F,Feel Fresh
Ela,Ela
elam,Neelam
ELD,GOELD
elo,Steelo
emie,Premier
en S,Open Secret
enan,Glenand
ENE,ENE
enga,Iyengar Spices & Food Specialists 
eni,Seni
eo,Treo
eo ,Iveo 
EoFr,Eco Fresh
epha,Elephant 
era,Opera
erea,Eveready
eres,Everest
eric,American Garden 
erica,Americano
erry,Cherry Blossom
es,Fres
es P,Natures Plus
esh,Fresh Ground
esh ,Fresh Honest
eshe,Freshee
eshi,Freshious
esho,Fresho
ess,Guess
esti,Prestige
esto,Frestol
et,Veet
eta,Beeta
Exo,Exo
fa,Alfa
fal,Safal
fami,Enfamil A+
fe H,Safe Harvest
fe J,Cafe Junyali
febu,Lifebuoy
fewa,Safewash
F-FA,ALF-FARMS
ffan,Tiffany
ffee,Coffee Day
ffet,Buffet 
ffol,Saffola
fika,Befikar
free,Lifree
ft T,Soft Touch
ftou,Softouch
ftse,Softsens
g,1mg
g Sa,Big Sams
G Te,TWG Tea
ga,Vega
ga b,Yoga bar
gage,Engage
gam,Aagam
gam ,Sangam Sweets
GANI,ORGANIC INDIA
gania,Organicana
gar ,Sugar free
garl,Sugarless Bliss
garo,Figaro
gbas,bigbasket
ge,Rage
ge C,Rage Coffee
geon,Pigeon
geta,Vegetal
gg ,Fogg 
GGI ,MAGGI 
ggie,Huggies
ggle,Wiggles.in
gh B,Wagh Bakri
ghdo,Meghdoot
gix,Magix
Glam,MyGlamm
gli,Engli
gner,Aigner
gnus,Magnus
Go,Go 
go R,Hugo Reitzel 
Godr,Godrej
Grb,Grb
grry,Bagrrys
gs,Ongs
gu,Ragu
gu M,Mogu Mogu
h,Mdh
H&B,H&B
ha,moha
ha O,Aaha Oho
har,Lehar
haya,Idhayam
HDAM,VAHDAM
Herb,Herbal Hills
herc,Mothercare 
Heri,Heri
hino,Kohinoor
hl,Wahl
hnso,Johnsons
I,SKI
i Sr,Sri Sri Tattva
i Ve,Jai Veer
i Wa,Wai Wai
ian,Asian
ibic,Unibic
icco,Chicco
ice,Slice
ice ,Spice Liquid
ICH,IRICH
ICHI,SPICHI
icio,Elicious 
ick ,Quick Dry
icke,Quickee'S
iD,iD
idap,Sidapur
iden,Trident
idi,Heidi
idya,Baidyanath
iel ,Ariel 
iend,Friends
ient,Oriental Botanics
ig,Epig
igam,Origami
ika,Orika
ikh,Bhikh
il,Pril
ilip,Philips
ilk,Silk
iman,Weiman
ims,Kims
in C,Skin Cottage 
ince,Princeware
ine,Niine
ing',Ching'S Secret
ingl,Pringles
ings,Chings
inin,Twinings
inn ,Skinn by Titan
inz,Spinz
ipha,Epiphany Snacks
IR,THIR
ir4U,Hair4U
ish ,Atish 
ishi,Meishi
iska,Whiskas
ispe,Whisper 
iste,Meisterwurst
ISTI,PRISTINE
isto,Aristo
ita,Brita
itan,Britannia
ite,Elite
ited,United
ith ,Smith & Jones
itte,Britte 
iv,Kaiv
ivia,Olivia
izzp,Chizzpa
j Ma,Taj Mahal
ja,Raja
jaj,Bajaj
jali,Anjali
jjat,Lijjat
JK,JK
ju C,Raju Candles
ju's,Raju's Cloth
K,SSK
k Fo,Ask Foods
ka,Koka
kaji,Bikaji
ke,Nike
kers,Pekers
kersv,Bakersveggie
kes,Dukes
kim,Hakim
kkom,Kikkoman
km,KM
kme,Lakme
koda,Nakoda
koko,Nestle Koko Krunch
kopf,Schwarzkopf Professional
Kr,Kr
ksh,Moksh
kti,Mukti
ku,Yaku
kura,Sakurafresh
Kvg,Kvg
L,KCL
L Co,TGL Co.
l Mo,Del Monte
l No,Bel Normande
l Ou,All Out
l So,Til Sona
l Ti,All Time
la,Gala
labs,Gulabs
lan,Kolan
lassi,Classic Essentials
lavi,Colavita
laya,Himalaya
ld I,Wild Ideas
ld S,Wild Stone
lden,Golden Tips
ldir,Haldirams 
lee,Rslee
lfi ,Delfi Twister
lgat,Colgate
L'Go,LiL'Goodness
li S,Goli Soda
lian,Reliance
lic,Delic
lice,Police
lici,Delicious
lk,Milk
lker,Walkers
lkis,Malkist
lky ,Milky Mist
ll,Hell
lla,Bella
lle,Mille
llet,Gillette
lley,Valley Spice
llie,Bellie
llo,Cello
llog,Kelloggs
llow,Yellow Crumb
llte,Milltec
lmer,Palmer's
lmol,Palmolive
lobu,Globus Naturals
lomb,Colombian Brew Coffee
LON,DELON
lon ,Dylon 
lour,Colourmist
love,Love
low,Yellow Spark
lpak,Selpak
lton,Milton
lvin,Calvin Klein 
lyse,Polyset
m,Fem
m & ,Mom & World
ma,Mama
maea,Mamaearth
mal,Ajmal
mala,Himalaya Wellness
mani,Lomani
mara,Anmara
masu,Kamasutra
mbal,Mambalam Iyers
mbay,Bombay Shaving Company
mbin,Bambino
mboo,Bamboooz
mbri,Cambridge Tea Party
me M,Home Mate
me P,Home Puff
meLi,LimeLite
meru,sumeru
mex,Domex
mfor,Comfort
mi,e-mi
mila,Similac
Milt,Milton - Spotzero
mios,Timios
misa,Bemisal
mlin,Camlin
mman,Command
mmie,Yummiez
MOM,MOM
Moth,Mothers Recipe
mper,Pampers 
mpla,Complan
Mpm,Mpm
mpur,Rampura
mry,camry
ms,Doms
mson,Ramson
MTR,MTR
mvru,Samvruddhi
MVS,MVS
mvud,Samvuddhi & Co
my,Mamy
myaa,Namyaa
myan,Samyang
mypo,Mamypoko
n,Rin
n ,Bon 
n  ,Sln  
n Ap,Bon Appetit
n Ar,Man Arden
n Pu,Van Pur
n Re,San Remo
N Sp,BTN Sports
na,Dana
nach,Panache
napo,Annapoorna
Natc,DrNatcure
Natu,B Natural
Natur,Nature Valley
nawa,Runaway
naya,Vinayak
ncan,Duncan Hines
ncha,Sancha
nchk,Munchkin
nchy,Munchys
nd,Nand
ndal,Hindalco
ndbe,Lindberg
nder,Wonderchef
ndon,London Dairy
ndro,Sundrop
nds,Ponds
Neo,Neo
nes,Freshones
nesh,Ganesh
Nest,Nest 
ney ,Honey Twigs
nf,Sunf
nfea,Sunfeast
ng,Wing
ng G,Tong Garden
NGAM,BENGAMESE
ngfi,Kingfisher
ngh ,Singh Styled
ngle,Jungle Magic
ngo,Bingo
ngre,Wingreens Farms
ngsh,Nongshim
NGST,KINGSTA
ni,Yoni
nic ,Organic Harvest
nin,Monin
nish,Finish
niya,Muniyal Ayurveda
njar,Banjara's
njay,Sanjay 
nket,Sanketi Adukale
nko,Henko
nley,Kinley
nna ,Manna 
nne ,Bonne Maman
nnel,Kennel kitchen 
nnys,Tannys
nod,Vinod
noNi,NanoNine
nopu,Canopus
nsci,Conscious Food
nsil,Sunsilk
nsod,Sensodyne
nson,Jensons
nsoo,Monsoon Harvest
ntai,Pantai
ntav,Montavo
ntho,Cinthol
ntin,Continent Spice Khadi
ntol,Pintola
ntoo,Santoor
ntos,Dentoshine  
ntra,Mantra
nute,Minute Maid 
ny,Dkny
O D,RRO D
o Fr,Alo Frut
o Na,Pro Nature
O OR,PRO ORGANIC LIFE
o Va,Eco Valley 
o Ye,Yoo Yee
o Yu,Too Yumm!
o360,Pro360
O365,ECO365
obus,Globus
ocer,Grocery Farm
od,Good
od H,Good Home
od k,Good knight
od M,Good Morning
odDi,GoodDiet
odec,Foodecor
oe V,Aloe Veda
oede,Aloederm
o-Fr,Geo-Fresh
ogo,Soogo
ok,Cook
olde,Golden Prize
oma ,Aroma Magic 
on,Lion
on B,Pigeon Baby
ones,Stonesoup
onil,Odonil 
onov,Bionova
onpo,Toonpops
OOK,UCOOK
ools,Drools
oor,Smoor
ooti,Frooti
opak,Roopak
Opal,LaOpala
opala,Laopala Diva
opic,Tropicana
or,Stor
ore,Skore
ORI,TJORI
oria,Storia
orom,Floroma
orox,Clorox
orr,Knorr
osno,Krosno - Europe
otin,Protinex 
OTIQ,BIOTIQUE
ots,Roots
ov,Moov
ove,Dove
OZ,MOOZ
ozen,Frozen Star
ozo ,Prozo Plus
P Bha,BP Bharat
p Ra,Top Ramen 
P. N,K.P. Namboodiris
pacr,Papacream
PACT,IMPACT
pane,Japanese Choice
pe,Pape
PENL,ALPENLIEBE
per ,Paper Boat
perg,Papergrid
peri,Emperia
perm,Supermax
perw,Superware
phoo,Typhoo
pice ,Spice Story
pigam,Epigamia 
pino,Alpino
pita,Appitas
piva,Kapiva Ayurveda
PL,JCPL
plap,Ciplaplast
plas,Laplast
pp,Happ
PPHE,SAPPHERO
pphi,Sapphire
ppil,Happilo
ppo,Nippo
ppy,Happy Jars
ppy ,Happy Hens Farms
ppyC,HappyChef
pro,Wipro
Proc,Godrej Proclean
psi,Pepsi
ptai,Captain Zack
pton,Lipton 
publ,Republic of Chicken
PURA,GOPURAM
py ,Appy 
py F,Appy Fizz
r,Aer
r Va,Dabur Vatika
r wi,Air wick
ra,Yera
RAA,QRAA
rabe,Mirabelle
rabi,Zorabian
rach,Parachute Advansed
raKi,MeraKisan
rala,Kerala Ayurveda
rall,Dorall Collection
rama,Puramate
rapa,Nirapara
rava,Saravanas
raym,Spraymintt
rbic,Barbican 
rbit,Orbit
rden,Garden
rdia,Cardia
rdle,Yardley London
re 4,Care 4 All
re I,Kare In
