index,product,category,brand,brand_id,price
1,"Cheese - Organic, Cheddar, Pepper","Bakery, Cakes & Dairy",Aksh,Aksh,282
2,"Cheese - Organic, Mozzarella/ Pizza Cheese","Bakery, Cakes & Dairy",Aksh,Aksh,263
3,"Table Butter - Salted, Organic, Tub","Bakery, Cakes & Dairy",Aksh,Aksh,720
4,"Cheese - Organic, Cheddar, Chilli","Bakery, Cakes & Dairy",Aksh,Aksh,275
5,Kool - Badam,"Bakery, Cakes & Dairy",Amul,Amul,20
6,Kool - Koko,"Bakery, Cakes & Dairy",Amul,Amul,120
7,Tru Mango,"Bakery, Cakes & Dairy",Amul,Amul,10
8,Kesar Shrikhand,"Bakery, Cakes & Dairy",Amul,Amul,115
9,Kool Milk Shake - Strawberry,"Bakery, Cakes & Dairy",Amul,Amul,90
10,Cooking Butter - Unsalted,"Bakery, Cakes & Dairy",Amul,Amul,235
11,Malai Paneer,"Bakery, Cakes & Dairy",Amul,Amul,75
12,Lactose Free Milk,"Bakery, Cakes & Dairy",Amul,Amul,150
13,Amrakhand - With Real Mango,"Bakery, Cakes & Dairy",Amul,Amul,45
14,Lassi - Rose Flavour,"Bakery, Cakes & Dairy",Amul,Amul,140
15,Processed Cheese - Chiplets Cubes,"Bakery, Cakes & Dairy",Amul,Amul,114
16,Kool - Rose,"Bakery, Cakes & Dairy",Amul,Amul,25
17,Real Ice Cream - Strawberry Real Magic,"Bakery, Cakes & Dairy",Amul,Amul,160
18,Ashwagandha Doodh,"Bakery, Cakes & Dairy",Amul,Amul,25
19,Kadhai Doodh,"Bakery, Cakes & Dairy",Amul,Amul,120
20,Creami - Cheese Spread,"Bakery, Cakes & Dairy",Amul,Amul,85
21,Shrikhand - Badam Pista,"Bakery, Cakes & Dairy",Amul,Amul,115
22,Processed Cheese - ETG Block,"Bakery, Cakes & Dairy",Amul,Amul,463
23,Kool - Elaichi,"Bakery, Cakes & Dairy",Amul,Amul,20
24,Cheese Spread - Red Chilli Flakes,"Bakery, Cakes & Dairy",Amul,Amul,85
25,Kool Cafe - Hazelnut,"Bakery, Cakes & Dairy",Amul,Amul,120
26,Smoothie - Mango,"Bakery, Cakes & Dairy",Amul,Amul,30
27,"Cheese - Cheddar, Diced","Bakery, Cakes & Dairy",Amul,Amul,465
28,Processed Cheese,"Bakery, Cakes & Dairy",Amul,Amul,204
29,Cheese Spread - Punchy Pepper,"Bakery, Cakes & Dairy",Amul,Amul,85
30,Moonfils Veg - Strawberry,"Bakery, Cakes & Dairy",Baul,Baul,15
31,Spyroll,"Bakery, Cakes & Dairy",Baul,Baul,10
32,Moonfils Orange,"Bakery, Cakes & Dairy",Baul,Baul,15
33,Moonfils - Vanilla,"Bakery, Cakes & Dairy",Baul,Baul,15
34,Moonfils - Strawberry,"Bakery, Cakes & Dairy",Baul,Baul,15
35,Moonfils Choco Cream,"Bakery, Cakes & Dairy",Baul,Baul,15
36,Tasties Khari - Maska 200 gm + bb Royal Tea - Masters Blend 250 gm,"Bakery, Cakes & Dairy",bb C,bb C,265
37,Fresho Bread - Whole Wheat 400gm + Jus Amazin Cashew Butter Salted Caramel 125gm,"Bakery, Cakes & Dairy",bb C,bb C,339
38,Fresho Bread - Multigrain 400gm + Jus Amazin Cashew Butter Salted Caramel 125gm,"Bakery, Cakes & Dairy",bb C,bb C,349
39,Bakery Biscuit - Ajwain,"Bakery, Cakes & Dairy",bb P,bb P,145
40,Bakery Biscuit - Choco Chips,"Bakery, Cakes & Dairy",bb P,bb P,145
41,"Muffin - Rich Chocolate, Whole Wheat (Eggless)","Bakery, Cakes & Dairy",Bhea,Bhea,289
42,"Walnut Brownie - Organic Jaggery, Wholewheat, Eggless, Sugarfree","Bakery, Cakes & Dairy",Bhea,Bhea,159
43,"Whole Wheat Cake - Chocolate Marble, Eggless","Bakery, Cakes & Dairy",Bhea,Bhea,129
44,"Whole Wheat Cake - Jaggery Walnut, Eggless","Bakery, Cakes & Dairy",Bhea,Bhea,139
45,Honey Fig Cake,"Bakery, Cakes & Dairy",Bhea,Bhea,149
46,"Cake - Dates Walnut, Whole Wheat Eggless","Bakery, Cakes & Dairy",Bhea,Bhea,129
47,Vegan Pineapple Cake,"Bakery, Cakes & Dairy",Bhea,Bhea,259
48,"Rusk - Suji Elaichi Light, Crisp & Delicious Toast","Bakery, Cakes & Dairy",Bhikh,Bhikh,99
49,GF Chocochip Cookie,"Bakery, Cakes & Dairy",Bon ,Bon ,57
50,Butter Croissant,"Bakery, Cakes & Dairy",Bon ,Bon ,107
51,Whole Wheat Bread,"Bakery, Cakes & Dairy",Bon ,Bon ,59
52,Mawa Eggless Cake Bar,"Bakery, Cakes & Dairy",Bon ,Bon ,188
53,Multigrain Bread,"Bakery, Cakes & Dairy",Bon ,Bon ,77
54,Herb Garlic Toast,"Bakery, Cakes & Dairy",Bon ,Bon ,145
55,"Treat Croissant - Cocoa Creme Roll, 100% Veg","Bakery, Cakes & Dairy",Brita,Brita,15
56,Cheese - Block,"Bakery, Cakes & Dairy",Brita,Brita,155
57,Cheese Slices,"Bakery, Cakes & Dairy",Brita,Brita,155
58,Pineapple Cake,"Bakery, Cakes & Dairy",Brita,Brita,15
