order_id,product_id,quantity ,,,,,,,,,,,,
tx-1001,2726,9,,,,,,,,,,,,
tx-1001,874,3,,,,,,,,,,,,
tx-1001,491,9,,,,,,,,,,,,
tx-1001,1688,9,,,,,,,,,,,,
tx-1001,1872,6,,,,,,,,,,,,
tx-1001,646,8,,,,,,,,,,,,
tx-1001,2000,3,,,,,,,,,,,,
tx-1001,622,2,,,,,,,,,,,,
tx-1001,2026,9,,,,,,,,,,,,
tx-1001,2976,4,,,,,,,,,,,,
tx-1002,1240,9,,,,,,,,,,,,
tx-1002,819,4,,,,,,,,,,,,
tx-1002,778,8,,,,,,,,,,,,
tx-1002,2974,7,,,,,,,,,,,,
tx-1002,2102,1,,,,,,,,,,,,
tx-1002,1351,2,,,,,,,,,,,,
tx-1002,829,5,,,,,,,,,,,,
tx-1002,603,4,,,,,,,,,,,,
tx-1002,712,8,,,,,,,,,,,,
tx-1002,45,2,,,,,,,,,,,,
tx-1003,586,2,,,,,,,,,,,,
tx-1003,778,4,,,,,,,,,,,,
tx-1003,1969,9,,,,,,,,,,,,
tx-1003,2512,8,,,,,,,,,,,,
tx-1003,638,3,,,,,,,,,,,,
tx-1003,2941,5,,,,,,,,,,,,
tx-1003,2587,4,,,,,,,,,,,,
tx-1003,938,8,,,,,,,,,,,,
tx-1003,2441,5,,,,,,,,,,,,
tx-1003,1120,7,,,,,,,,,,,,
tx-1004,1761,8,,,,,,,,,,,,
tx-1004,2307,5,,,,,,,,,,,,
tx-1004,632,5,,,,,,,,,,,,
tx-1004,602,4,,,,,,,,,,,,
tx-1004,221,3,,,,,,,,,,,,
tx-1004,864,3,,,,,,,,,,,,
tx-1004,2005,6,,,,,,,,,,,,
tx-1004,1583,3,,,,,,,,,,,,
tx-1004,2201,9,,,,,,,,,,,,
tx-1004,2589,6,,,,,,,,,,,,
tx-1005,1895,2,,,,,,,,,,,,
tx-1005,1425,7,,,,,,,,,,,,
tx-1005,2969,8,,,,,,,,,,,,
tx-1005,722,7,,,,,,,,,,,,
tx-1005,1752,3,,,,,,,,,,,,
tx-1005,144,4,,,,,,,,,,,,
tx-1005,2332,8,,,,,,,,,,,,
tx-1005,2637,5,,,,,,,,,,,,
tx-1005,1215,5,,,,,,,,,,,,
tx-1005,2874,8,,,,,,,,,,,,
tx-1006,1586,7,,,,,,,,,,,,
tx-1006,1733,2,,,,,,,,,,,,
tx-1006,200,8,,,,,,,,,,,,
tx-1006,1700,1,,,,,,,,,,,,
tx-1006,2454,2,,,,,,,,,,,,
tx-1006,2762,7,,,,,,,,,,,,
tx-1006,2360,8,,,,,,,,,,,,
tx-1006,46,3,,,,,,,,,,,,
tx-1006,1719,5,,,,,,,,,,,,
tx-1006,2129,7,,,,,,,,,,,,
tx-1007,642,3,,,,,,,,,,,,
tx-1007,1073,4,,,,,,,,,,,,
tx-1007,1596,4,,,,,,,,,,,,
tx-1007,600,6,,,,,,,,,,,,
tx-1007,2031,7,,,,,,,,,,,,
tx-1007,1143,9,,,,,,,,,,,,
tx-1007,93,2,,,,,,,,,,,,
tx-1007,985,7,,,,,,,,,,,,
tx-1007,1072,6,,,,,,,,,,,,
tx-1007,2152,4,,,,,,,,,,,,
tx-1008,2257,3,,,,,,,,,,,,
tx-1008,960,2,,,,,,,,,,,,
tx-1008,862,7,,,,,,,,,,,,
tx-1008,843,6,,,,,,,,,,,,
